15,9748236,10503731,10702384,10928547,9857355,10206184,1190,5292600
15,9747202,10505116,10701590,10928745,9857927,10206348,1192,5292589
15,9747752,10505690,10702663,10930077,9856372,10207958,1198,5292584
15,9746656,10506690,10702309,10931012,9854962,10207647,1200,5292592
15,9746332,10507575,10700833,10930360,9855516,10208552,1200,5292589
15,9747880,10506454,10700583,10928881,9855498,10208513,1203,5292577
15,9745927,10506957,10701222,10929380,9854703,10208426,1201,5292589
15,9746723,10506044,10702870,10930877,9856011,10206338,1192,5292611
15,9747782,10505370,10700396,10927494,9857750,10205795,1186,5292586
15,9748240,10505024,10703508,10927901,9857760,10206113,1188,5292601
15,9749014,10504873,10702610,10928568,9858680,10206031,1190,5292599
15,9747808,10504302,10703736,10926772,9857699,10207123,1190,5292591
15,9747047,10504879,10702310,10929992,9857663,10206714,1191,5292599
15,9746417,10505950,10701708,10930509,9856766,10207775,1200,5292600
15,9747160,10506154,10702083,10929475,9854937,10207980,1201,5292600
15,9747087,10506371,10701195,10930964,9854538,10207744,1204,5292592
15,9746197,10505854,10699845,10928985,9855783,10207456,1199,5292606
15,9745751,10506187,10703329,10928486,9856695,10207610,1194,5292594
15,9747553,10505740,10702243,10929027,9858558,10206493,1189,5292595
15,9748586,10505308,10703058,10928788,9857884,10206932,1187,5292602
15,9750046,10505315,10702477,10926300,9857397,10205375,1188,5292601
15,9748902,10505337,10702696,10928540,9857199,10205520,1192,5292616
15,9748897,10506399,10701622,10926982,9857665,10206658,1196,5292613
15,9747813,10506505,10700869,10928727,9857569,10207654,1197,5292599
15,9746748,10507043,10700707,10930622,9855798,10208602,1200,5292592
15,9745192,10506951,10701136,10930385,9856252,10208957,1197,5292606
15,9746994,10506117,10700578,10930401,9855163,10207392,1198,5292588
15,9746591,10506645,10700223,10930304,9856512,10206846,1197,5292594
15,9747795,10505430,10701790,10928060,9855243,10206937,1194,5292596
15,9749077,10503628,10702419,10927984,9857376,10205772,1191,5292592
15,9748411,10505117,10702336,10925805,9858216,10205139,1186,5292592
15,9748218,10503993,10703618,10928485,9857866,10206376,1191,5292602
15,9747489,10505822,10701921,10928383,9855877,10206007,1196,5292583
15,9746882,10505171,10701015,10929195,9856254,10208406,1198,5292604
15,9746224,10506289,10700993,10929850,9856447,10207358,1197,5292586
15,9746593,10506486,10702479,10930037,9856163,10207516,1201,5292597
15,9744102,10506652,10700422,10929509,9857407,10209142,1197,5292595
15,9748291,10506101,10701915,10929763,9855631,10206531,1201,5292592
15,9748028,10504931,10701147,10928507,9856196,10207261,1197,5292591
15,9748581,10505497,10702703,10928630,9858210,10206581,1191,5292593
15,9750018,10503848,10705146,10926494,9857645,10206072,1186,5292599
15,9748155,10503632,10703278,10927621,9857459,10207743,1189,5292580
15,9748748,10503982,10701331,10927644,9857281,10206953,1190,5292595
15,9748435,10506173,10702153,10928509,9857700,10208127,1197,5292589
15,9746441,10506085,10700498,10928126,9857539,10208466,1200,5292589
15,9746956,10504488,10700873,10929808,9855689,10207975,1204,5292575
15,9745047,10508548,10701737,10930285,9856350,10207740,1200,5292586
15,9746341,10507583,10702754,10930110,9856578,10208162,1197,5292592
15,9747258,10504971,10703338,10927951,9858256,10206757,1192,5292592
15,9748313,10504316,10703381,10928708,9857748,10207077,1188,5292589
15,9749127,10503861,10703988,10929577,9857803,10207153,1184,5292589
15,9748262,10504488,10703818,10926187,9858420,10208112,1188,5292588
30,9517100,10736972,10467755,11160145,9634116,10423423,2451,5292612
30,9516551,10737527,10467894,11160673,9634210,10420667,2447,5292591
30,9516406,10735670,10467474,11161334,9634733,10420837,2444,5292606
30,9517401,10737690,10467571,11161555,9632155,10422363,2446,5292595
30,9517044,10736759,10466651,11161301,9633338,10421527,2446,5292588
30,9516785,10736865,10468113,11160401,9634388,10422448,2450,5292583
30,9516992,10735717,10466299,11161870,9632741,10422421,2445,5292591
30,9516312,10735522,10466806,11160148,9633050,10422555,2449,5292570
30,9517516,10735341,10468877,11161524,9634482,10422225,2454,5292586
30,9514960,10736359,10466692,11160139,9635171,10421952,2445,5292593
30,9515968,10737104,10466205,11160058,9633083,10422730,2448,5292591
30,9516214,10737102,10467261,11159988,9633187,10421493,2447,5292585
30,9517014,10737042,10466751,11158284,9633519,10422616,2446,5292602
30,9518954,10736426,10467165,11159840,9632596,10422561,2448,5292597
30,9516213,10736771,10468010,11160633,9634116,10421253,2450,5292573
